metabolite,metabolite_name,fungi_id,bac_id,fungi_rxn_id,bac_rxn_id
2hyoxplac,(2-hydroxyphenyl)acetate,2hyoxplac_e,2hyoxplac[e],UF02481_E,EX_2hyoxplac(e)
2obut,2-oxobutanoate,2obut_e,2obut[e],UF03114_E,EX_2obut(e)
2ppoh,propan-2-ol,2ppoh_e,2ppoh[e],UF03063_E,EX_2ppoh(e)
34dhpha,"(3,4-dihydroxyphenyl)acetate",34dhpha_e,34dhpha[e],UF03119_E,EX_34dhpha(e)
3mb,3-methylbutanoate,3mb_e,isoval[e],UF02500_E,EX_isoval(e)
3mop,(S)-3-methyl-2-oxopentanoate,3mop_e,3mop[e],UF03131_E,EX_3mop(e)
4abut,4-aminobutanoate,4abut_e,4abut[e],UF03137_E,EX_4abut(e)
4abz,4-aminobenzoate,4abz_e,4abz[e],UF03138_E,EX_4abz(e)
4hbz,4-hydroxybenzoate,4hbz_e,4hbz[e],UF03142_E,EX_4hbz(e)
4hoxpac,(4-hydroxyphenyl)acetate,4hoxpac_e,4hphac[e],UF02510_E,EX_4hphac(e)
4hoxpacd,(4-hydroxyphenyl)acetaldehyde,4hoxpacd_e,4hoxpacd[e],UF03143_E,EX_4hoxpacd(e)
5aop,5-amino-4-oxopentanoate,5aop_e,5aop[e],UF03147_E,EX_5aop(e)
abt,L-arabinitol,abt_e,abt[e],UF03150_E,EX_abt(e)
ac,acetate,ac_e,ac[e],UF03160_E,EX_ac(e)
acac,acetoacetate,acac_e,acac[e],UF03153_E,EX_acac(e)
acald,acetaldehyde,acald_e,acald[e],UF03155_E,EX_acald(e)
acgam,N-acetyl-D-glucosamine,acgam_e,acgam[e],UF03158_E,EX_acgam(e)
ade,adenine,ade_e,ade[e],UF02529_E,EX_ade(e)
adn,adenosine,adn_e,adn[e],UF02530_E,EX_adn(e)
akg,2-oxoglutarate,akg_e,akg[e],UF03174_E,EX_akg(e)
alaD,D-alanine zwitterion,alaD_e,ala_D[e],UF03045_E,EX_ala_D(e)
alaL,L-alanine zwitterion,alaL_e,ala_L[e],UF03176_E,EX_ala_L(e)
amet,S-adenosyl-L-methionine zwitterion,amet_e,amet[e],UF03190_E,EX_amet(e)
amp,AMP(2-),amp_e,amp[e],UF03514_E,EX_amp(e)
arabL,L-arabinose,arabL_e,arab_L[e],UF03193_E,EX_arab_L(e)
arbt,arbutin,arbt_e,arbt[e],UF03194_E,EX_arbt(e)
argL,L-argininium,argL_e,arg_L[e],UF02548_E,EX_arg_L(e)
asnL,L-asparagine zwitterion,asnL_e,asn_L[e],UF02550_E,EX_asn_L(e)
aspL,L-aspartate,aspL_e,asp_L[e],UF02552_E,EX_asp_L(e)
btd_RR,"(R,R)-butane-2,3-diol",btd_RR_e,btd_RR[e],UF03204_E,EX_btd_RR(e)
btn,biotinate,btn_e,btn[e],UF02997_E,EX_btn(e)
btoh,butan-1-ol,btoh_e,btoh[e],UF03027_E,EX_btoh(e)
but,butyrate,but_e,but[e],UF02912_E,EX_but(e)
bz,benzoate(1-),bz_e,bz[e],UF03209_E,EX_bz(e)
ch4s,methanethiol,ch4s_e,ch4s[e],UF03211_E,EX_ch4s(e)
chol,choline,chol_e,chol[e],UF03216_E,EX_chol(e)
cholest,cholesterol,cholest_e,chsterol[e],UF03215_E,EX_chsterol(e)
cit,citrate(3-),cit_e,cit[e],UF02577_E,EX_cit(e)
cmp,CMP(2-),cmp_e,cmp[e],UF02579_E,EX_cmp(e)
co2,carbon dioxide,co2_e,co2[e],UF03227_E,EX_co2(e)
crn,L-carnitine,crn_e,crn[e],UF03230_E,EX_crn(e)
csn,cytosine,csn_e,csn[e],UF02583_E,EX_csn(e)
cysL,L-cysteine zwitterion,cysL_e,cys_L[e],UF02585_E,EX_cys_L(e)
cytd,cytidine,cytd_e,cytd[e],UF02587_E,EX_cytd(e)
dad_2,2'-deoxyadenosine,dad_2_e,dad_2[e],UF02588_E,EX_dad_2(e)
dcyt,2'-deoxycytidine,dcyt_e,dcyt[e],UF02592_E,EX_dcyt(e)
ddca,dodecanoate,ddca_e,ddca[e],UF02977_E,EX_ddca(e)
dgsn,2'-deoxyguanosine,dgsn_e,dgsn[e],UF02594_E,EX_dgsn(e)
din,2'-deoxyinosine,din_e,din[e],UF02596_E,EX_din(e)
dtmp,dTMP(2-),dtmp_e,dtmp[e],UF03251_E,EX_dtmp(e)
dttp,dTTP(4-),dttp_e,dttp[e],UF03252_E,EX_dttp(e)
duri,2'-deoxyuridine,duri_e,duri[e],UF02605_E,EX_duri(e)
eryt,erythritol,eryt_e,ethrtl[e],UF03260_E,EX_ethrtl(e)
etha,ethanolaminium(1+),etha_e,etha[e],UF03261_E,EX_etha(e)
ethyleneglycol,ethylene glycol,ethyleneglycol_e,12ethd[e],UF03262_E,EX_12ethd(e)
etoh,ethanol,etoh_e,etoh[e],UF03263_E,EX_etoh(e)
fe2,iron(2+),fe2_e,fe2[e],UF03268_E,EX_fe2(e)
fol,folate(2-),fol_e,fol[e],UF03032_E,EX_fol(e)
for,formate,for_e,for[e],UF03271_E,EX_for(e)
fru,D-fructose,fru_e,fru[e],UF03275_E,EX_fru(e)
fum,fumarate(2-),fum_e,fum[e],UF02628_E,EX_fum(e)
galt,galactitol,galt_e,galt[e],UF02636_E,EX_galt(e)
gam,D-glucosamine(1+),gam_e,gam[e],UF03284_E,EX_gam(e)
gcald,glycolaldehyde,gcald_e,gcald[e],UF03286_E,EX_gcald(e)
glcD,alpha-D-glucose,glcD_e,glc_D[e],UF03288_E,EX_glc_D(e)
glcn,D-gluconate,glcn_e,glcn[e],UF02642_E,EX_glcn(e)
glnL,L-glutamine zwitterion,glnL_e,gln_L[e],UF02644_E,EX_gln_L(e)
gluL,L-glutamate,gluL_e,glu_L[e],UF03292_E,EX_glu_L(e)
gly,glycine zwitterion,gly_e,gly[e],UF03304_E,EX_gly(e)
gly,glycine zwitterion,gly_e,gly[e],UF03304_E,EX_gly(e)_II
glyb,glycine betaine,glyb_e,glyb[e],UF02647_E,EX_glyb(e)
glyc,glycerol,glyc_e,glyc[e],UF03302_E,EX_glyc(e)
glyclt,glycolate(1-),glyclt_e,glyclt[e],UF02649_E,EX_glyclt(e)
gsn,guanosine,gsn_e,gsn[e],UF02654_E,EX_gsn(e)
gthox,oxidized glutathione,gthox_e,gthox[e],UF03307_E,EX_gthox(e)
gthrd,reduced glutathione,gthrd_e,gthrd[e],UF03309_E,EX_gthrd(e)
gua,guanine,gua_e,gua[e],UF02657_E,EX_gua(e)
h,H+,h_e,h[e],UF03474_E,EX_h(e)
h2o,water,h2o_e,h2o[e],UF03314_E,EX_h2o(e)
hgentis,homogentisate,hgentis_e,kprofen[e],UF03318_E,EX_kprofen(e)
hisL,L-histidine zwitterion,hisL_e,his_L[e],UF02667_E,EX_his_L(e)
hisam,histaminium(1+),hisam_e,hista[e],UF03319_E,EX_hista(e)
homL,L-homoserine zwitterion,homL_e,hom_L[e],UF02669_E,EX_hom_L(e)
hxan,hypoxanthine,hxan_e,hxan[e],UF02675_E,EX_hxan(e)
hxda,palmitate,hxda_e,hdca[e],UF02978_E,EX_hdca(e)
ibt,isobutyrate,ibt_e,isobut[e],UF02692_E,EX_isobut(e)
ileL,L-isoleucine zwitterion,ileL_e,ile_L[e],UF03339_E,EX_ile_L(e)
ind3ac,indole-3-acetate,ind3ac_e,ind3ac[e],UF02687_E,EX_ind3ac(e)
inost,myo-inositol,inost_e,inost[e],UF03344_E,EX_inost(e)
ins,inosine,ins_e,ins[e],UF02691_E,EX_ins(e)
lacD,(R)-lactate,lacD_e,lac_D[e],UF02971_E,EX_lac_D(e)
lacL,(S)-lactate,lacL_e,lac_L[e],UF02967_E,EX_lac_L(e)
lanost,lanosterol,lanost_e,lanost[e],UF03008_E,EX_lanost(e)
lcyst,L-cysteate(1-),lcyst_e,Lcyst[e],UF02701_E,EX_Lcyst(e)
leuL,L-leucine zwitterion,leuL_e,leu_L[e],UF03351_E,EX_leu_L(e)
malL,(S)-malate,malL_e,mal_D[e],UF03510_E,EX_mal_D(e)
malL,(S)-malate,malL_e,mal_L[e],UF03510_E,EX_mal_L(e)
malt,maltose,malt_e,malt[e],UF02707_E,EX_malt(e)
malttr,maltotriose,malttr_e,malttr[e],UF03356_E,EX_malttr(e)
man,D-mannose,man_e,man[e],UF03359_E,EX_man(e)
man6p,alpha-D-mannose 6-phosphate(2-),man6p_e,man6p[e],UF03524_E,EX_man6p(e)
meoh,methanol,meoh_e,meoh[e],UF03363_E,EX_meoh(e)
metL,L-methionine zwitterion,metL_e,met_L[e],UF02999_E,EX_met_L(e)
mma,methylammonium,mma_e,mma[e],UF02722_E,EX_mma(e)
mnl,D-mannitol,mnl_e,mnl[e],UF03370_E,EX_mnl(e)
nac,nicotinate,nac_e,nac[e],UF03373_E,EX_nac(e)
nmn,NMN(-),nmn_e,nmn[e],UF02732_E,EX_nmn(e)
no2,nitrite,no2_e,no2[e],UF03374_E,EX_no2(e)
no3,nitrate,no3_e,no3[e],UF03378_E,EX_no3(e)
o2,dioxygen,o2_e,o2[e],UF03382_E,EX_o2(e)
oaa,oxaloacetate(2-),oaa_e,oaa[e],UF03065_E,EX_oaa(e)
ocda,stearate,ocda_e,ocdca[e],UF02980_E,EX_ocdca(e)
orn,L-ornithinium(1+),orn_e,orn[e],UF02747_E,EX_orn(e)
orn,L-ornithinium(1+),orn_e,orn[e],UF02747_E,EX_orn(e)_II
orot,orotate,orot_e,orot[e],UF02748_E,EX_orot(e)
oxa,oxalate(2-),oxa_e,oxa[e],UF02749_E,EX_oxa(e)
pac,phenylacetate,pac_e,pac[e],UF02751_E,EX_pac(e)
pap,"adenosine 3',5'-bismonophosphate(4-)",pap_e,pap[e],UF03395_E,EX_pap(e)
peamn,2-phenylethanaminium,peamn_e,peamn[e],UF03404_E,EX_peamn(e)
pheL,L-phenylalanine zwitterion,pheL_e,phe_L[e],UF02761_E,EX_phe_L(e)
phenol,phenol,phenol_e,phenol[e],UF03410_E,EX_phenol(e)
phpyr,keto-phenylpyruvate,phpyr_e,phpyr[e],UF02763_E,EX_phpyr(e)
pi,hydrogenphosphate,pi_e,pi[e],UF02765_E,EX_pi(e)
pntoR,(R)-pantothenate,pntoR_e,pnto_R[e],UF02766_E,EX_pnto_R(e)
ppa,propionate,ppa_e,gmfl[e],UF03420_E,EX_gmfl(e)
ppa,propionate,ppa_e,ppa[e],UF03420_E,EX_ppa(e)
ppi,diphosphate(3-),ppi_e,ppi[e],UF03526_E,EX_ppi(e)
proL,L-proline zwitterion,proL_e,pro_L[e],UF03424_E,EX_pro_L(e)
psphings,phytosphingosine(1+),psphings_e,pb[e],UF03056_E,EX_pb(e)
ptrc,putrescine,ptrc_e,ptrc[e],UF03060_E,EX_ptrc(e)
pydam,pyridoxaminium(1+),pydam_e,pydam[e],UF02773_E,EX_pydam(e)
pydx,pyridoxal,pydx_e,pydx[e],UF02774_E,EX_pydx(e)
pydxn,pyridoxine,pydxn_e,pydxn[e],UF02775_E,EX_pydxn(e)
pyr,pyruvate,pyr_e,pyr[e],UF02776_E,EX_pyr(e)
ribD,D-ribose,ribD_e,rib_D[e],UF03446_E,EX_rib_D(e)
ribflv,riboflavin(1-),ribflv_e,ribflv[e],UF02786_E,EX_ribflv(e)
rmn,L-rhamnose,rmn_e,rmn[e],UF03447_E,EX_rmn(e)
salcn,salicin,salcn_e,salcn[e],UF03449_E,EX_salcn(e)
salltn,allantoin,salltn_e,alltn[e],UF03187_E,EX_alltn(e)
sbtD,D-sorbitol,sbtD_e,sbt_D[e],UF03451_E,EX_sbt_D(e)
serL,L-serine zwitterion,serL_e,ser_L[e],UF03454_E,EX_ser_L(e)
sheme,siroheme(8-),sheme_e,sheme[e],UF03017_E,EX_sheme(e)
so3,sulfite,so3_e,so3[e],UF03455_E,EX_so3(e)
so4,sulfate,so4_e,so4[e],UF03456_E,EX_so4(e)
spmd,spermidine(3+),spmd_e,spmd[e],UF02799_E,EX_spmd(e)
sprm,spermine(4+),sprm_e,sprm[e],UF02802_E,EX_sprm(e)
srbL,L-sorbopyranose,srbL_e,srb_L[e],UF03462_E,EX_srb_L(e)
succ,succinate(2-),succ_e,succ[e],UF02804_E,EX_succ(e)
sucr,sucrose,sucr_e,sucr[e],UF03468_E,EX_sucr(e)
taur,taurine zwitterion,taur_e,taur[e],UF03472_E,EX_taur(e)
tda,tetradecanoate,tda_e,ttdca[e],UF02982_E,EX_ttdca(e)
thm,thiamine(1+),thm_e,thm[e],UF03477_E,EX_thm(e)
thm,thiamine(1+),thm_e,thm[e],UF03477_E,EX_thm(e)_II
thrL,L-threonine zwitterion,thrL_e,thr_L[e],UF03479_E,EX_thr_L(e)
thym,thymine,thym_e,thym[e],UF02816_E,EX_thym(e)
thymd,thymidine,thymd_e,thymd[e],UF02815_E,EX_thymd(e)
tol,toluene,tol_e,tln[e],UF03482_E,EX_tln(e)
tre,"alpha,alpha-trehalose",tre_e,tre[e],UF03484_E,EX_tre(e)
trpL,L-tryptophan  zwitterion,trpL_e,trp_L[e],UF02823_E,EX_trp_L(e)
tym,tyraminium(1+),tym_e,tym[e],UF03486_E,EX_tym(e)
tyrL,L-tyrosine zwitterion,tyrL_e,tyr_L[e],UF02826_E,EX_tyr_L(e)
ura,Uracil,ura_e,ura[e],UF02829_E,EX_ura(e)
urea,urea,urea_e,urea[e],UF03492_E,EX_urea(e)
uri,uridine,uri_e,uri[e],UF02832_E,EX_uri(e)
valL,L-valine zwitterion,valL_e,val_L[e],UF03496_E,EX_val_L(e)
xan,9H-xanthine,xan_e,xan[e],UF02839_E,EX_xan(e)
xtsn,xanthosine,xtsn_e,xtsn[e],UF02840_E,EX_xtsn(e)
xylD,D-xylose,xylD_e,xyl_D[e],UF03503_E,EX_xyl_D(e)
xylt,xylitol,xylt_e,xylt[e],UF03504_E,EX_xylt(e)
